weight,reps,rpe,load_delta
135.0,5,7.0,0.0
135.0,6,7.0,0.0
135.0,6,9.0,0.0
115.0,8,8.0,-20.0
135.0,9,10.0,20.0
137.5,6,7.0,2.5
128.0,7,7.0,-9.5
140.0,6,8.0,12.0
130.0,7,9.0,-10.0
142.5,6,8.0,12.5
130.0,8,7.0,-12.5
135.0,8,7.0,5.0
132.5,6,7.0,-2.5
137.5,6,7.0,5.0
135.0,8,7.0,-2.5
140.0,7,8.0,5.0
137.5,8,9.0,-2.5
142.5,8,8.0,5.0
