weight,reps,rpe,load_delta
27.5,8,8.5,0.0
27.5,9,8.5,0.0
27.5,9,8.5,0.0
35.0,9,8.5,7.5
27.5,10,8.5,-7.5
27.5,10,8.5,0.0
27.5,10,8.5,0.0
32.5,5,8.5,5.0
32.5,6,8.5,0.0
32.5,7,8.5,0.0
34.0,5,9.0,1.5
32.5,7,8.5,-1.5
27.5,7,8.5,-5.0
22.5,13,8.5,-5.0
